Mountain,Elevation (m),lat,lng,color
Alpha Mountain,2302,49.795556,-123.275833,#ea96a3
Mt. Braden,477,48.456667,-123.605278,#e89687
Mt. Brenton,1216,48.911667,-123.853889,#dc924e
Blackjack Ridge,546,49.115833,-124.069722,#c5994b
Butler Peak,1440,49.008889,-124.321944,#b39d48
Capitan Mountain,1486,48.950833,-124.213889,#a09f45
Mt. Cokely,1610,49.236667,-124.591944,#8ea546
Mt. Decosmos,1348,49.146111,-124.284444,#71ac47
Empress Mountain,676,48.572778,-123.636944,#48b067
Heather Mountain,1333,48.998333,-124.485278,#49ae87
Mt. Hooper,1483,49.059167,-124.518611,#4aac98
Mt. Gardner,720,49.390908,-123.363251,#4baba4
Mt. Moriarty,1598,49.169722,-124.534444,#4dabb0
Gemini Mountain,1504,48.988056,-124.332222,#50acbf
Little Mountain,250,49.282222,-124.398056,#54acd3
Okay Mountain,885,49.173056,-124.155556,#82aee5
Survey Mountain,953,48.594722,-123.866944,#a9aceb
Mt. Ridge,1327,49.128327,-124.643408,#c1a2ea
Mt. Peak,1261,48.960556,-124.080278,#d795e8
Notch Hill,251,49.289167,-124.212222,#e78bdd
Mt. Wesley,906,49.278333,-124.647222,#e88fc9
Mt. Whymper,1531,48.976111,-124.355,#e993b7
  
  
  
  
  
  
  
  
  
  
  
  